SA1_7DIG16,SA1_MAIN16,SA1_pop,SA1_irsdscore
1101807,10104101807,440,940
1101808,10104101808,509,886
1101809,10104101809,338,949
1101810,10104101810,308,914
1101811,10104101811,317,966
1101812,10104101812,417,923
1101813,10104101813,276,1063
1101814,10104101814,257,1001
1101815,10104101815,317,1007
1101816,10104101816,381,1011
1101817,10104101817,645,1039
1101818,10104101818,492,979
1101819,10104101819,401,984
1101820,10104101820,299,827
1101821,10104101821,185,993
1101822,10104101822,451,938
1101823,10104101823,438,809
1101901,10104101901,484,846
1101902,10104101902,438,864
1101903,10104101903,251,812
1101904,10104101904,419,893
1101905,10104101905,399,814
1101906,10104101906,448,963
1101907,10104101907,324,934
1101909,10104101909,304,882
1101911,10104101911,407,1033
1101912,10104101912,385,1040
1101913,10104101913,426,1044
1101914,10104101914,708,1047
1101915,10104101915,211,1081
1101916,10104101916,521,1048
1101917,10104101917,730,1044
1101918,10104101918,285,1050
1101919,10104101919,267,1017
1101920,10104101920,295,946
1101921,10104101921,279,1059
1101922,10104101922,334,974
1101923,10104101923,488,943
1102001,10104102001,435,1023
1102002,10104102002,522,1033
1102003,10104102003,394,943
1102004,10104102004,335,933
1102005,10104102005,283,942
1102006,10104102006,330,845
1102007,10104102007,354,1036
1102008,10104102008,352,1007
1102011,10104102011,333,1022
1102013,10104102013,162,935
1102014,10104102014,241,990
1102015,10104102015,190,975
1102016,10104102016,259,1002
1102017,10104102017,235,1043
1102018,10104102018,405,980
1102019,10104102019,286,1027
1102020,10104102020,503,999
1102022,10104102022,320,930
1102023,10104102023,307,1029
1102024,10104102024,257,951
1102025,10104102025,359,956
1102026,10104102026,195,978
1102027,10104102027,234,1021
1102028,10104102028,413,1025
1102029,10104102029,315,996
1102030,10104102030,388,868
1102031,10104102031,151,1043
1102032,10104102032,223,974
1102101,10104102101,409,1031
1102102,10104102102,217,997
1102104,10104102104,635,1032
1102105,10104102105,429,1040
1102106,10104102106,575,966
1102107,10104102107,569,1046
1102108,10104102108,418,1031
1102109,10104102109,38,1028
1102301,10104102301,373,891
1102302,10104102302,400,1016
1102303,10104102303,317,1042
1102304,10104102304,174,949
1102305,10104102305,495,932
1102306,10104102306,347,879
1102307,10104102307,283,819
1102308,10104102308,524,752
1102309,10104102309,299,969
1102401,10104102401,245,970
1102402,10104102402,300,954
1102403,10104102403,253,878
1102404,10104102404,423,975
1102405,10104102405,246,1000
1102406,10104102406,245,992
1102407,10104102407,280,1011
1102408,10104102408,291,850
1102409,10104102409,252,1029
1102410,10104102410,212,947
1102411,10104102411,209,986
1102412,10104102412,341,1059
1102502,10104102502,326,990
1102503,10104102503,337,925
1102504,10104102504,288,866
1102505,10104102505,222,927
1102506,10104102506,323,1025
1102507,10104102507,244,1055
1102508,10104102508,558,1020
1102509,10104102509,165,1014
1102510,10104102510,352,1059
1102511,10104102511,399,1042
1102512,10104102512,540,1029
1102513,10104102513,465,984
1102514,10104102514,229,882
1102516,10104102516,310,1005
1102517,10104102517,331,1013
1102518,10104102518,514,1088
1102519,10104102519,260,1037
1102520,10104102520,539,989
1102521,10104102521,308,1002
1102522,10104102522,326,1067
1102523,10104102523,183,1057
1102524,10104102524,263,1036
1102525,10104102525,446,979
1102526,10104102526,519,1046
1102527,10104102527,427,1019
1102528,10104102528,671,924
1102529,10104102529,352,914
1102530,10104102530,352,1017
1102532,10104102532,388,890
1102601,10104102601,483,962
1102602,10104102602,596,976
1102603,10104102603,324,1042
1102604,10104102604,305,976
1102605,10104102605,530,972
1102606,10104102606,302,1064
1102607,10104102607,395,943
1102608,10104102608,374,964
1102609,10104102609,405,905
1102610,10104102610,231,838
1102611,10104102611,255,1015
1102612,10104102612,232,899
1102613,10104102613,267,971
1102614,10104102614,592,988
1102615,10104102615,384,1017
1102616,10104102616,223,1060
1102617,10104102617,245,961
1102618,10104102618,303,1046
1102619,10104102619,386,1032
1102620,10104102620,325,837
1102621,10104102621,312,902
1102622,10104102622,255,1005
1102623,10104102623,253,881
1102701,10104102701,251,948
1102702,10104102702,340,878
1102703,10104102703,174,1045
1102704,10104102704,283,904
1102705,10104102705,423,962
1102706,10104102706,509,925
1102707,10104102707,515,932
1102708,10104102708,354,967
1102709,10104102709,556,995
1102710,10104102710,210,1029
1102712,10104102712,426,999
1102713,10104102713,417,1021
1102717,10104102717,269,978
1102718,10104102718,307,939
1102719,10104102719,391,916
1102720,10104102720,268,1026
1102721,10104102721,608,974
1102722,10104102722,113,606
1102723,10104102723,255,995
1102724,10104102724,441,986
1102725,10104102725,323,944
1102726,10104102726,210,1035
1102727,10104102727,407,1001
1102728,10104102728,340,834
1102729,10104102729,588,916
1102802,10201102802,608,1087
